Company_Name,Company_Logo,Company_Description,Organization_Type,Staff,Development_Budget,Headquarters,Founded,website_link,Sectors,Funded,Countries,Skills,Contract_Name,Contract_Fundier
Center for Global Development,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/7173/cgdev.jpg","Center for Global Development (CGD) was founded in November 2001 by Edward Scott Jr., C. Fred Bergsten, and Nancy Birdsall. A technology entrepreneur, philanthropist, and former senior US government official, Ed Scott provided the vision and a significant financial commitment that made the creation of the Center possible. Fred Bergsten, the director of the Peterson Institute for International Economics, lent his formidable reputation in academic and policy circles and provided the fledgling Center with a roof and logistical support within the Peterson Institute for the Center’s initial months of operation. Nancy Birdsall, a former head of the World Bank research department and executive vice president of the Inter-American Development Bank, became CGD’s first president. Her intellectual leadership and rare combination of being both hard-headed and soft-hearted about development attracted a cadre of researchers and other professionals who are deeply dedicated to CGD’s mission..CGD’s three founders perceived a growing need for independent research to generate practical, creative solutions to the challenges that global interdependence poses to the developing countries, starting with debt. Delivering on Debt Relief: From IMF Gold to a New Aid Architecture (CGD, 2004), by Birdsall and John Williamson, a senior fellow at the Peterson Institute, was the Center’s first book...........",Institute,101-250,,United States,2001,http://www.cgdev.org/,"development,research & development,economic policy,media affairs / public relations,market research","david and lucile packard foundation,world bank group","uganda,kosovo,tanzania,yemen,burundi","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Global Development Incubator (GDI),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0126/3714/GDi-full.png","About.GDI takes a growth engineering approach to the creation and expansion of select ideas, organizations, and initiatives that address urgent global problems. They provide structured pathways over 2-3 years to support the achievement of critical step-changes necessary for ideas and organizations to move to the next level. They support the implementation of a strategic plan and then transition to a clear and responsible operational handoff, ensuring that the right engines for growth are built for continued transformative social impact..GDI goes beyond traditional consulting models, capacity builders, and bureaucratic platforms to do hands-on implementation in addition to strategic and networking support. The initiative to address real-world barriers to growth, offer a critical and independent perspective, and partner with innovators to deliver social impact at scale..Vision...",Service Providers,26-50,,United States,2007,http://globaldevincubator.org/,"development,monitoring / evaluation,hiv/aids,gender,tertiary education",,"kenya,nigeria,united states,south africa,guatemala","managerial experience,business development,international experience,with experience in conflict areas",,
Cultivating New Frontiers in Agriculture (CNFA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0116/4892/CNFA_Logo_Stacked_RGB.png","Cultivating New Frontiers in Agriculture (CNFA), an international development organization, specializes in designing sustainable, market-led agricultural initiatives. They build strong local and global partnerships, incorporate innovative approaches into their programs, and foster inclusive development to offer enhanced opportunities to under-served groups. Since 1985, CNFA has managed more than $510 million in donor-funded agriculture development programs and has worked in 42 countries across the world in Africa, Eastern Europe, Latin America and the Caribbean, the Middle East, and South and Central Asia..Their staff is dedicated to improving lives around the world. This strong concern carries over to the way CNFA manages its employee relations. Not only do they value their employees, but they recognize that satisfied people supporting their organization is the key to implementing their work..CNFA has grown to nearly 40 employees in Washington, DC and 180 worldwide. They empower staff to take on new initiatives, nurture each individual’s goals, skills and interests.....","Implementing NGO, Advocacy NGO",101-250,,United States,1985,http://www.cnfa.org/,"development,agricultural technology,monitoring / evaluation,international development,data management","ec,united states department of agriculture,trustafrica,world bank group","united states,afghanistan,pakistan,ghana,zimbabwe","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Netherlands Development Finance Company (FMO),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0104/4512/fmo.jpg",,Investment & Finance,251-500,,Netherlands,1970,http://www.fmo.nl/,"finance,development,market research,urban planning,project support",,"netherlands,afghanistan,jordan,armenia,united states","managerial experience,business development,international experience,with experience in conflict areas",,
Council of Europe (CoE),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0130/0676/AAEAAQAAAAAAAAV6AAAAJGRjYmE0YWQ2LTNiMjktNDg4OS05MTBkLTljMWIzMTkzY2M5NA.png","The Council of Europe has its headquarters in Strasbourg, France. It employs 2 200 people, and maintains external and liaison offices to other international organisations. The European Youth Centres in Strasbourg and Budapest offer training for young people in democracy and human rights issues..The Council of Europe advocates freedom of expression and of the media, freedom of assembly, equality, and the protection of minorities. It has launched campaigns on issues such as child protection, online hate speech, and the rights of the Roma, Europe's largest minority. The Council of Europe helps member states fight corruption and terrorism and undertake necessary judicial reforms. Its group of constitutional experts, known as the Venice Commission, offers legal advice to countries throughout the world..The Council of Europe promotes human rights through international conventions, such as the Convention on Preventing and Combating Violence against Women and Domestic Violence and the Convention on Cybercrime. It monitors member states' progress in these areas and makes recommendations through independent expert monitoring bodies. Council of Europe member states no longer apply the death penalty.
 ","Government, Funding Agencies",1001-5000,,France,1949,http://www.coe.int/en/web/about-us,"development,economic policy,events / training,public administration,research & development",,"georgia,kosovo,montenegro,turkey,lithuania","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Office of Information and Communications Technology (OICT),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0130/7766/un_banner_1.png","The Office of Information and Communications Technology is responsible for defining strategic direction for ICT to the Secretariat. It provides oversight of ICT programmes, budgets and decision-making to ensure alignment with the Secretariat’s overall ICT strategy. The team consists of more than ­­300 people operating global data centers and coordinating services provided by more than 4,000 people in UN offices worldwide. The Office is headquartered in New York and sits within the Department of Management..Their goal is to make the world a better place. They work together to innovate and build solutions across boundaries and organizations. They focus on what brings significant value to the mission of the United Nations.......",Implementing NGO,251-500,,United States,,https://unite.un.org/,,,,"managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
International City/County Management Association (ICMA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0011/7919/untitled.JPG","ICMA is the premier organization of professional local government leaders building sustainable communities to improve lives worldwide.. .ICMA advances professional local government worldwide.  Its mission is to create excellence in local governance by developing and advancing professional management of local government. ICMA, the International City/County Management Association, provides member support; publications, data, and information; peer and results-oriented assistance; and training and professional development to more than 9,000 city, town, and county experts and other individuals and organizations throughout the world.  The management decisions made by ICMA's members affect 185 million individuals living in thousands of communities, from small villages and towns to large metropolitan areas.. .ICMA's Mission.ICMA's mission is to create excellence in local governance by developing and fostering professional local government management worldwide.................",Association,101-250,,United States,1914,http://www.icma.org/,"procurement process,development,personnel / human resources,international development,financial services",,"united states,afghanistan,georgia,pakistan,philippines","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Global Service Centre (UNGSC) / United Nations Logistics Base (UNLB),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0108/7627/unlb.PNG","The United Nations Logistics Base in Brindisi is a vibrant operation, providing logistic support, telecommunications and training for all peacekeeping operations around the world. In 2005, UNLB is serving 18 peacekeeping operations and numerous smaller offices from the warehouses, workshops, satellite-transmitters, network-stations and classrooms in Brindisi. The past year has seen the launch of six new operations with the invaluable support of UNLB..The overall mandate for the United Nations Logistics Base is to ensure efficient and effective peacekeeping. This includes some of the following activities:","Funding Agencies, Implementing NGO",,,Italy,1994,http://www.unlb.org/,"tertiary education,development,youth,education policy,logistics / supplies",world bank group,"zimbabwe,slovenia,italy","managerial experience,business development,experience in recruitment,with experience in conflict areas",,
War Child Holland,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0141/5139/wrchhol.png","When war sweeps through a child’s life, it can have devastating effects. As a result of armed conflict, children and young people often become anxious, depressed and withdrawn, or rebellious and aggressive. In order to overcome these effects of war, War Child Holland provides children and young people with psychosocial support, education and protection..They believe no child should be part of war. Ever. Children have the right to grow up in peace, free from fear and violence. To develop their full potential and become the person they want to be. Together we can change the future..War Child Holland is an independent and impartial, international nongovernmental organisation investing in a peaceful future for children and young people affected by armed conflict. They support children regardless of their religion, ethnicity, social background, or gender. their work is based on the United Nations Convention on the Rights of the Child. They implement programmes in Africa, Asia, the Middle East, South America, and Europe. Their head office is located in the Netherlands.","Independent/None, Implementing NGO, Foundation",251-500,,Netherlands,1995,https://www.warchildholland.org/,"development,child and maternal health,torts / conflict resolution,monitoring / evaluation,biodiversity","ec,save the children international,world bank group","uganda,united states,sudan,cameroon,afghanistan","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Amnesty International,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6248/amnesty.jpg","Amnesty International is a worldwide movement of people who campaign for internationally recognized human rights to be respected and protected for everyone. It is a global movement of more than 3 million supporters, members and activists in more than 150 countries and territories who campaign to end grave abuses of human rights..We believe human rights abuses anywhere are the concern of people everywhere. So, outraged by human rights abuses but inspired by hope for a better world, we work to improve people’s lives through campaigning and international solidarity..Our mission is to conduct research and generate action to prevent and end grave abuses of human rights and to demand justice  for those whose rights have been violated..Our members and supporters exert influence on governments, political bodies, companies and intergovernmental groups.......",Advocacy NGO,1001-5000,,United Kingdom,1961,http://www.amnesty.org/,"development,human rights,events / training,tertiary education,research & development","test,goal global,ford foundation","nigeria,austria,india,kenya,iraq","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0126/3311/download%2520%25283%2529.jpg","Mandated to protect civilians and support transition processes in the Central African Republic.Concerned with the security, humanitarian, human rights and political crisis in the Central African Republic and its regional implications, the Security Council authorized on 10 April 2014 deployment of a multidimensional United Nations peacekeeping operation – MINUSCA, with the protection of civilians as its utmost priority. Its other initial tasks included support for the transition process; facilitating humanitarian assistance; promotion and protection of human rights; support for justice and the rule of law; and disarmament, demobilization, reintegration and repatriation processes..MINUSCA subsumed the UN Integrated Peacebuilding Office in the Central African Republic (BINUCA) on the date of the establishment. On 15 September 2014, the African-led International Support Mission in the Central African Republic (MISCA) transferred its authority over to MINUSCA, in accordance with resolution 2149 (2014)........","Implementing NGO, Advocacy NGO","10,000+",,Central African Republic,2014,http://minusca.unmissions.org/,"torts / conflict resolution,monitoring / evaluation,civil society,economic policy,research & development","citi foundation,ec,save the children international","central african republic,kenya,colombia,guinea,cote d ivoire","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
GITEC-IGIP GmbH,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0014/1292/4C-LogoGitec300.jpg","As one of Germanys leading consulting companies in development projects, GITEC-IGIP refers to a history of four decades of professional experience in over 850 projects..Our four departments offer in close co-operation integrated consulting services to our clients in the fields of: Water Resources & Sanitary Engineering, Health & Social Infrastructure including construction roads and buildings as well as TVET, Environmental & Climate Change as well as Natural Resources & Rural Development including capacity building and institutional development..Integrated Services implies the unique approach of GITEC-IGIP to involve all sectors relevant for an efficient completion of projects to the benefit of our clients. We are convinced that a sustainable development requires a functioning infrastructure for the production and distribution of goods and a healthy population provided with basic commodities and working opportunities appropriate to the given socio-economic and ecological environment. Those components are reflected in GITEC-IGIP's organisation in four fields of activity..Worldwide: GITEC-IGIP was successfully active in more than 160 countries since its origins back in 1977. GITEC-IGIP places emphasis on several areas, such as roads, water supply and sanitation, irrigation systems, schools, hospitals and housing programs, social and commercial infrastructure in combination with the conservation and management of natural resources and reforestation, agricultural production conditions as well as health education and technical & vocational education and training.....",Development Consulting,51-100,,Germany,1977,http://www.gitec-consult.de/,"procurement process,engineering,architecture / design,development aid,construction","ec,world bank group","zambia,south sudan,zimbabwe,germany,cambodia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
responsAbility Investments AG,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0142/4760/responsAbility_Logo.png","responsAbility Investments AG is one of the world’s leading asset managers specializing in development investments. The company serves private and institutional investors with professionally managed investment solutions..Their funds provide debt and equity financing to non-listed companies in developing and emerging countries. Through their business activities, these companies contribute to the provision of basic services to broad sections of the population and foster economic development, thereby driving long-term prosperity..Vision, Mission, Principles.Their vision, mission and principles give external stakeholders an insight into their identity and values. They also serve as a compass for responsAbility employees – showing them the direction they must take to achieve future success. ..............",Investment & Finance,251-500,,Switzerland,2003,http://www.responsability.com/,"development,finance,solar / wind / biofuels,urban planning,monitoring / evaluation",goal global,"united states,france,germany,switzerland,worldwide","managerial experience,business development,international experience",,
CRDF Global,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0124/5429/crdf.png","CRDF Global is an independent nonprofit organization that promotes international scientific and technical collaboration through grants, technical resources, training and services. CRDF Global's mission is to facilitate scientific collaborations between countries, promote safe and responsible science, encourage entrepreneurship that supports economic growth, and design and implement creative programs that improve science capacity. Working in over 40 countries, CRDF Global promotes peace and prosperity through international scientific and innovative collaborations..Program Areas.CRDF Global engages global innovators to address the critical challenges of our time—from health and the environment, to security and education. Our work developing and managing scientific programs provides a valuable resource for government, corporate and research communities in the United States and around the world..",Implementing NGO,101-250,,United States,1995,http://www.crdfglobal.org/,"monitoring / evaluation,development,tertiary education,events / training,research & development",world bank group,"united states,tanzania,france,georgia,worldwide","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Helmsley Charitable Trust,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0117/1215/helmsley.jpg","The Helmsley Charitable Trust is a foundation established in 1999 and administered by four Trustees selected by Leona Helmsley..The Helmsley Charitable Trust aspires to improve lives by supporting exceptional nonprofits and other mission-aligned organizations in the U.S. and around the world in health, selected place-based initiatives, and education and human services..They strive to make a meaningful impact in their focus areas, employing not only their significant financial assets, but also a rigorous and results-oriented approach and a keen understanding of the relevant issues, needs and opportunities. They are committed to close and productive partnerships with the organizations that receive their grants, as well as with other funders and impact players in government, academia and the private sector who share their interests and goals..Programs.Health.Basic Medical Research......................",Foundation,51-100,,United States,1999,http://helmsleytrust.org/,"development,research & development,project support,economic policy,banking system","world bank group,helmsley charitable trust","paraguay,mozambique,united states,madagascar,haiti","international experience,with experience in conflict areas",,
ActionAid,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6451/ActionAidLogo.jpg","ActionAid is an international anti-poverty agency whose aim is to fight poverty worldwide. Formed in 1972, for over 30 years we have been growing- helping over 13 million of the world's poorest and most disadvantaged people in 42 countries worldwide, helping them fight for and gain their rights to food, shelter, work, education, healthcare and a voice in the decisions that affect their lives..Their Partners:

In all of their country programmes they work with local partners to make the most of their knowledge and experience. They have over 2,000 local partner organisations worldwide. Their partners range from small community support groups to national alliances and international networks seeking education for all, trade justice and action against HIV/AIDS. Their work with these national and international campaign networks highlights the issues that affect poor people and influences the way governments and international institutions think. 

They work with communities over many years to strengthen their own efforts to throw off poverty. They make the most of their skills and abilities by working at many levels - local, national, regional and international.......","Implementing NGO, Advocacy NGO",501-1000,,South Africa,1972,http://www.actionaid.org/,"development,monitoring / evaluation,banking & finance budgeting,human rights,research & development","ec,david and lucile packard foundation,test","china,ethiopia,pakistan,bangladesh,sierra leone","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Morgan Stanley and Co. LLC,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0125/1143/9ycMSrlc.png","Morgan Stanley mobilizes capital to help governments, corporations, institutions and individuals around the world achieve their financial goals. For over 75 years, the firm’s reputation for using innovative thinking to solve complex problems has been well earned and rarely matched. A consistent industry leader throughout decades of dramatic change in modern finance, Morgan Stanley will continue to break new ground in advising, serving and providing new opportunities for its clients..","Development Consulting, Service Providers",,,,1969,http://www.morganstanley.com/,"development,private sector development,economic policy,research & development,finance",world bank group,"hong kong,spain,india,ghana","managerial experience,business development,experience in recruitment,international experience",,
Resonance,,,,,,,,,,,,,"['Provision of Analytical Services', 'Power Africa Expansion - Indefinite Delivery, Indefinite Quantity (IDIQ)', 'Education and Training Services', 'Management Excellence for Operations (MEO)', 'Promoting Excellence in Private Sector Engagement (PEPSE)', 'Provision of Education and Training Services in Australia', 'Development and Implementation Support Services for Public Private Partnerships, Other Partnered Approaches and Access to Finance for MCC', 'Management Excellence for Operations (MEO)', 'Human and Institutional Capacity Development for Critical Priority Countries (HICDpro for CPCs)', 'Human and Institutional Capacity Development for Critical Priority Countries (HICDpro for CPCs)']","['United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'Australian Department of Foreign Affairs and Trade (DFAT)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'Australian Department of Foreign Affairs and Trade (DFAT)', 'Millennium Challenge Corporation (MCC) - United States', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)']"
United Nations Office at Nairobi (UNON),,,,,,,,,,,,,,
Aga Khan Foundation,,,,,,,,,,,,,"['Facilitation and Verification of COVID-19 Emergency Relief Food Package Delivery among Communities in Bamyan', 'Facilitation and Verification of COVID-19 Emergency Relief Food Package Delivery among Communities in (Samangan)', 'Consultancy Services for Facilitation and Verification of COVID-19 Emergency Relief Food Package Delivery Among Communities in (Baghlan, Kunduz and Samangan) Package-08', 'Improving Food Security for Mothers and Young Children in Rural Areas', 'Ndrmf Agreement with Fip-Aga Khan Foundation (Akf ) As Lead Partner and Agakhan Planning and Buildi Ng Services As 2Nd Partner', 'Support the Launch of Schools2030, a 10-Year Action Research Project that Will Collaborate with 1,000 Schools in Ten Countries Around the World', 'Procurement Contract: MZ-Education Sector Support Program', 'Kizazi Kipya: New Generation', 'Yetu Initiative', 'Build a Database for Mapping of African Policy Expertise']","['World Bank Group', 'World Bank Group', 'World Bank Group', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'Asian Development Bank (ADB)', 'OAK Foundation', 'World Bank Group', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'Carnegie Corporation of New York (Carnegie)']"
Common Market for Eastern and Southern Africa (COMESA),,,,,,,,,,,,,"['Climate Change Agriculture and Food Security - Phase II', 'Developing Business Case for an Integrated Regional Digital Payment Scheme', 'Africa Regional Fund Initiatives', 'Strengthening Capacity for Trade Negotiations and Trade Policy Development']","['Consultative Group for International Agricultural Research (CGIAR)', 'Bill & Melinda Gates Foundation (B&MGF)', 'Rockefeller Foundation', 'African Capacity Building Foundation (ACBF)']"
Medical Care Development International (MCDI),,,,,,,,,,,,,"['Second Multisectoral STI/HIV/AIDS Prevention project', 'Second Multisectoral STI/HIV/AIDS Prevention project', 'Second Multisectoral STI/HIV/AIDS Prevention project', 'Second Multisectoral STI/HIV/AIDS Prevention project', 'Avian Influenza Control and Human Pandemic Preparedness and Response Project', 'Second Multisectoral STI/HIV/AIDS Prevention project', 'Second Multisectoral STI/HIV/AIDS Prevention project', 'Avian Influenza Control and Human Pandemic Preparedness and Response Project', 'Madagascar Sustainable Health System Development Project', 'Secondary Education Enhancement Project']","['World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group']"
Innovations for Poverty Action (IPA),,,,,,,,,,,,,"['Development of Rigorous Method for Measuring Real Cost of Digital Financial Services', 'Understanding Mobile Data Collection', 'Chile, Colombia, Costa Rica, Dominican Republic, El Salvador, Honduras, Nicaragua, Peru, Uruguay Survey Collection: High-Frequency Phone Monitoring of Households (Round 2)', 'Addressing Intimate Partner Violence: The Real Man Challenge in Peru', 'Testing an Affordable Spectrometer', 'Helping the Government of Ghana to Scale Up Targeted Instruction of Students', 'Fifth Impact Evaluation of Smallholder Horticulture Empowerment and Promotion Project for Local and Up-scaling (SHEP PLUS)', 'Fifth Impact Evaluation of Smallholder Horticulture Empowerment and Promotion Project for Local and Up-scaling (SHEP PLUS)', 'Impact Evaluation For Business Plan Competition,Grants And Business Development Services For The Kenyayouth Employment And Opportunities Project', 'Provision To Evaluate A Large Pre-Trial Diversion Program In Mexico Aimed To End The So-Called ""Revolving Door"" Which Characterizes The Lives Of Vulnerable Youths Once They Enter The Justice System']","['Bill & Melinda Gates Foundation (B&MGF)', 'Bill & Melinda Gates Foundation (B&MGF)', 'World Bank Group', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'Japan International Cooperation Agency (JICA)', 'Japan International Cooperation Agency (JICA)', 'World Bank Group', 'Open Society Foundations (OSF)']"
Pan American Development Foundation (PADF),,,,,,,,,,,,,"['Increasing Collective Action to Address Child Labor, Forced Labor, and Other Unacceptable Conditions of Work', 'Consulting Services for Combined Technical and Financial Evaluation Report', 'Mexico Auto Employers', 'Support for Adopting Evidence-based Labor Practices in the Automotive Supply Chain', 'HT Urban CDD / PRODEPUR']","['United States Department of Labor (DOL)', 'World Bank Group', 'United States Department of Labor (DOL)', 'United States Department of Labor (DOL)', 'World Bank Group']"
RESULTS,,,,,,,,,,,,,"['To Increase Awareness Of State Activity On The Every Student Succeeds Act (ESSA) And Elevate The Voices And Perspectives Of Key Stakeholders In States', 'To Develop a Seal of Excellence Award for Microfinance Institutions that Demonstrate Significant Outreach to the Poor']","['Bill & Melinda Gates Foundation (B&MGF)', 'Ford Foundation']"
Results for Development (R4D),,,,,,,,,,,,,"['To Develop Public Goods to Support Better Foundational Literacy and Numeracy Edtech Product Design', 'Support Institutional Efforts at Capacity Building of Management Staff to Enhance the Requisite Skillset Needed for Institutional Strengthening and Implementation of Health Financing Reform', ""Afghanistan, Bangladesh, Burkina Faso, Cambodia, Cameroon, Central African Republic, Chad, Congo, Democratic Republic of, Cote d'Ivoire, Ethiopia, Ghana, Guatemala, Guinea, Haiti, Indonesia, Kenya, Liberia, Madagascar, Malawi, Mali, Mauritania, Mozambique, Myanmar, Niger, Nigeria, Pakistan, Rwanda, Senegal, Sierra Leone, Somalia, Tajikistan, Tanzania, Uganda, Vietnam, Zambia, Zimbabwe Technical Assistance On Preserving Essential Services for Women, Children, and Adolescents In the Context of Covid-19"", 'Consultancy Services for the provision of a rapid, desk based analysis on impacts to the education sector brought on by COVID-19 (Asia Pacific)', 'Results for Development 2019', 'Local Health System Sustainability Project', 'Grant Results for Development 2018', 'Grant Results for Development 2018', 'Make Well-Informed Strategic Decisions Regarding How Best to Catalytically Implement Solutions to Improve Access for Priority MNCH Products', 'Support for High Impact Policy Interventions in Food Systems for Nutrition']","['Bill & Melinda Gates Foundation (B&MGF)', 'Bill & Melinda Gates Foundation (B&MGF)', 'World Bank Group', 'Australian Department of Foreign Affairs and Trade (DFAT)', 'Rockefeller Foundation', 'United States Agency for International Development (USAID)', 'Rockefeller Foundation', 'Rockefeller Foundation', 'Bill & Melinda Gates Foundation (B&MGF)', 'Bill & Melinda Gates Foundation (B&MGF)']"
IGIP,,,,,,,,,,,,,"['Technical Assistance and Supervision of Remedial Works of Sewerage Network', 'Control and Supervision of Drinking Water Supply Works', 'Controle Et Supervision Supplementaire', 'Environmental & Social Impact Assessme', 'QUALITY PROTECT (GEF)', 'BI-Multisectoral Water & Electricity Inf', 'Multisectoral Water and Electricity Infrastructure Project', 'BI-Multisectoral Water & Electricity Inf', 'Technical assistance to support implementation of the water & sanitation programme', 'Works Supervision for the Investment Project for Waste Water Collection and Treatment in Prilep']","['EC - Directorate General for International Partnerships DG-INTPA (former DEVCO - EuropeAid)', 'World Bank Group', 'African Development Bank (AFDB)', 'African Development Bank (AFDB)', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'World Bank Group', 'EC - Directorate General for International Partnerships DG-INTPA (former DEVCO - EuropeAid)', 'EC - Directorate General for International Partnerships DG-INTPA (former DEVCO - EuropeAid)']"
Habitat for Humanity International,,,,,,,,,,,,,"['Provision of Operations And Maintenance Services', 'Supporting the Preparation for the Impact of Future Flooding', 'Provision of Services for Addressing Urban Land Conflicts', 'Provision of Shelter Response to Earthquakes', 'Cementing Knowledge and Pursuing Innovation', 'Supporting Neighborhood Revitalisation Programme', 'Provision of Transitional and Permanent Shelter Solutions', 'Safe Shelter Through Landslide Mitigation: a Community-Based Solution.', 'Just Cities: For the Use of Innovative Financing for Slum Upgrading and Improvement Efforts', 'Australian Non-Government Organisation Cooperation Program 14-15']","['Inter-American Development Bank (IDB)', 'Other - Private Foundations / Corporations', 'Open Society Foundations (OSF)', 'Other - Private Foundations / Corporations', 'Other - Private Foundations / Corporations', 'Bill & Melinda Gates Foundation (B&MGF)', 'Conrad N. Hilton Foundation', 'Global Affairs Canada (GAC)', 'Ford Foundation', 'Australian Department of Foreign Affairs and Trade (DFAT)']"
Center for Global Development,,,,,,,,,,,,,"['Panel on Financing for Pandemic Prevention, Preparedness and Response', 'To Inform Policy Making Related To And Improve Approaches To Development Finance', 'For General Operating Support', 'Center for Global Development: Research into New Models for Humanitarian Multilateral Donorship', 'Support Research and Advocacy on Aid, Finance and Policies for Development', 'Provision of Services for the Empowerment of Women and Girls', 'Provision To Support The Creation Of An Evidence Base For, And Raise Awareness About, Policy Options For A Solidarity Compact That Would Benefit Refugees And Host Communities In Bangladesh', 'For A Program To Support The Development And Implementation Of Sound Data Governance Policies', 'For Continuation Of Internal Diversity, Equity, And Inclusion Trainings', 'Support for the Impact Evaluation Field in Spreading Existing Ways of Being Locally Grounded, Cost-Efficient, and Policy-Relevant']","['Wellcome Trust', 'Ford Foundation', 'The William and Flora Hewlett Foundation', 'Australian Department of Foreign Affairs and Trade (DFAT)', 'Bill & Melinda Gates Foundation (B&MGF)', 'Bill & Melinda Gates Foundation (B&MGF)', 'Open Society Foundations (OSF)', 'The William and Flora Hewlett Foundation', 'The William and Flora Hewlett Foundation', 'The William and Flora Hewlett Foundation']"
Global Development Incubator (GDI),,,,,,,,,,,,,"['Advance Career Pathways and Data Strategy to Strengthen GOYN Mombasa', 'The Global Development Incubator 2019', 'Support the Launch of Prosper Africa', 'Investigate the Landscape of Value-Based Care and How It Could Potentially Be Leveraged in Low- and Middle-Income Countries', 'Grant The Global Development Incubator 2017', 'Grant The Global Development Incubator 2017', 'Proposals Technicalevaluation Report For Con Sultancy Services For Provision Of Technical Assistance To Support Implementation Of Economic Inclusionintervention -Kseip Project-', 'Advisors Impact Fund Scan on Sustainable Smallholder Agriculture', 'Provision To Support To The Emerging Public Leaders Program, Which Aims To Reduce Poverty And Promote Development Through Engagement With Young People For Meaningful Careers In Public Service', 'Learning Partner: Rural and Agricultural Finance Learning Lab (RAF LL)']","['Conrad N. Hilton Foundation', 'Rockefeller Foundation', 'MacArthur Foundation', 'Bill & Melinda Gates Foundation (B&MGF)', 'Rockefeller Foundation', 'Rockefeller Foundation', 'World Bank Group', 'David and Lucile Packard Foundation', 'Open Society Foundations (OSF)', 'Mastercard Foundation']"
